谜面,谜底
谜面：曹操兵败走华容 （打一成语）,谜底：性命交关
谜面：调查见曲直 （打一《三国演义》人名）,谜底：曹植
谜面：夜半枝头，残红四五点。 （打一《红楼梦》人名）,谜底：李纨
谜面：唐宋八家，杨州八怪。 （打一字）,谜底：做
谜面：雾散之后冰消融 （打一节气）,谜底：雨水
谜面：沧海变桑田 （打一字）,谜底：汗
谜面：囊括全部金牌 （打一内蒙古地名）,谜底：包头
谜面：学生上门，站满墙根。 （打一成语）,谜底：家徒四壁
谜面：丢了乌纱减了肥 （打一成语）,谜底：无官一身轻
谜面：应有真心无恶心 （打一海南地名）,谜底：三亚
谜面：聘前必须测身高 （打一成语）,谜底：量才录用
谜面：牙医 （打一教育用语）,谜底：专业对口
谜面：二十六不足，二十八有余。 （打一字）,谜底：共
谜面：天方夜谭 （打一字）,谜底：歼
谜面：走错了，一直去。 （打一《三国演义》人名）,谜底：赵云
谜面：三四块土地 （打一中药名）,谜底：田七
谜面：毕业后重新分配 （打一商朝人名）,谜底：比干
谜面：饭后猜谜 （打一物理名词）,谜底：反射
谜面：手拿象棋子，久久未落盘。 （打一成语）,谜底：相持不下
谜面：始皇即位 （打一学科名）,谜底：政治
谜面：已有一半，又制一半。 （打一字）,谜底：判
谜面：热水瓶 （打一成语）,谜底：一身是胆
谜面：抛砖引玉，广交天下。 （打一节日）,谜底：国庆
谜面：我有言在先 （打一语文用语）,谜底：成语
谜面：瞎子猜谜 （打一计算机用语）,谜底：盲打
谜面：魔高一尺，道高一丈。 （打一成语）,谜底：各有所长
谜面：爷爷奶奶和我家三口住进三室一厅 （打一数学名词）,谜底：四舍五入
谜面：原来很牢固 （打一北宋人名）,谜底：曾巩
谜面：西湖之夜 （打一字）,谜底：液
谜面：相反 （打一成语）,谜底：有板有眼
谜面：图中西北部 （打一节气）,谜底：立冬
谜面：只因改革得安宁 （打一字）,谜底：寄
谜面：闰三月 （打一省会名）,谜底：长春
谜面：第一夜 （打一节日）,谜底：元宵
谜面：连加连乘 （打一成语）,谜底：纵横交错
谜面：脖子上长翅膀 （打一秦代人名）,谜底：项羽
谜面：从众卧倒 （打一成语）,谜底：五体投地
谜面：一人 （打一辽宁地名）,谜底：大连
谜面：清明之前，分离之际。 （打一《水浒传》人名）,谜底：阮小二
谜面：提笔忘字 （打一美术用语）,谜底：写生
谜面：有点曲折 （打一字）,谜底：之
谜面：毕业之后 （打一节日名）,谜底：国庆节
谜面：赢了也没用 （打一《水浒传》人名）,谜底：白胜
谜面：十分如意 （打一战国人名）,谜底：毛遂
谜面：孟姜哭，褒姒笑。 （打一成语）,谜底：倾城倾国
谜面：重庆居中 （打一成语）,谜底：始终不渝
谜面：平反回来 （打一字）,谜底：啬
谜面：文 （打一《红楼梦》人名）,谜底：晴雯
谜面：妲己设计害比干 （打一成语）,谜底：挖空心思
谜面：秋后会猜 （打一北宋人名）,谜底：狄青
谜面：绷脸放下一句话 （打三字QQ空间用语）,谜底：留言板
谜面：夜到江西三日回 （打二字科技名词）,谜底：液晶
谜面：唐太宗来找乐子 （打一小说主角）,谜底：李寻欢
谜面：只学会自家拳法 （打四字招生用语）,谜底：对外招生
谜面：村落 （打一战国人名）,谜底：庄子
谜面：曰 （打一地名）,谜底：南昌
谜面：叶公惊倒，心跳停止。 （打一成语）,谜底：来龙去脉
谜面：朝也干戈，晚也干戈。 （打一成语）,谜底：明争暗斗
谜面：明月当空良人伴 （打二字天文名词）,谜底：日食
谜面：半帘残月听蛩声 （打一字）,谜底：穹
谜面：一横一竖写一回 （打一字）,谜底：固
谜面：千金之子 （打一字）,谜底：媳
谜面：年少无知 （打一湖北地名）,谜底：大悟
谜面：落花流水春去也 （打一甘肃地名）,谜底：临夏
谜面：吕蒙卸任 （打一常用词）,谜底：陆续
谜面：宴别于东郊 （打一河南地名）,谜底：安阳
谜面：仙人却善变化 （打一动物并冠量）,谜底：一只山羊
谜面：唯有功名忘不了 （打一贬称谓）,谜底：贪官
谜面：时冷时热无真意 （打学校用语二）,谜底：寒假、暑假
谜面：少女要主动一点 （打一《红楼梦》人名）,谜底：妙玉
谜面：东江相思重 （打一经济作物）,谜底：豇豆
谜面：阳关一别奔前程 （打一明朝人）,谜底：郑和
谜面：迎春袭人两含羞 （打一成语）,谜底：花花草草
谜面：中秋佳节结良缘 （打一城市名）,谜底：重庆
谜面：湖光水月竹遮笼 （打一武侠小说作者）,谜底：古龙
谜面：学生干活没报酬 （打一成语）,谜底：徒劳无益
谜面：开放不必存顾虑 （打一金庸小说人物）,谜底：张无忌
谜面：奋力大扫除 （打一字）,谜底：男
谜面：日落看木偶 （打一字）,谜底：梦
谜面：宁丢乌纱，要了心愿。 （打一三国人名）,谜底：丁原
谜面：灯谜未猜先揭底 （打一成语）,谜底：不打自招
谜面：荣誉半是苦中来 （打一《水浒传》人名）,谜底：杜兴
谜面：懂得 （打一动物）,谜底：知了
谜面：不与他人歪风随 （打一饮料名）,谜底：和其正
谜面：南北动干戈，中东频纷争。 （打一青海省地名）,谜底：西宁
谜面：上行与下行 （打一国家名）,谜底：中非
谜面：吃尽苦头三十日 （打一字）,谜底：胡
谜面：佳人失散村子乱 （打三国人名）,谜底：李封
谜面：乡试功名信手拈 （打一成语）,谜底：轻而易举
谜面：双手赞成 （打一体育项目）,谜底：举重
谜面：拘留30天 （打一字）,谜底：捐
谜面：重耳苦尽始称孤 （打一河北地名）,谜底：邯郸
谜面：思前想后执己见 （打一战国人名）,谜底：田忌
谜面：反手再上篮 （打一文具）,谜底：毛笔
谜面：水流二道，相间三尺。 （打一字）,谜底：渊
谜面：乖乖虎千里而到 （打《论语》一句）,谜底：有朋自远方来
谜面：签字歪歪扭扭，讲话结结巴巴。 （打6字常言）,谜底：名不正则言不顺
谜面：文君当垆，子牙临溪。 （打一成语）,谜底：沽名钓誉
谜面：湖光水月鸟飞鸣 （打一字）,谜底：咕
谜面：明日分离，无人相伴。 （打一字）,谜底：胖
谜面：牵牛含笑，车前含羞。 （打一成语）,谜底：花花草草
谜面：阎王爷不做主 （打一电影）,谜底：小鬼当家
谜面：秋叶落后人全离 （打一字）,谜底：程
谜面：慧心妙解 （打一称谓）,谜底：少妇
谜面：谜作不雅如武大之态 （打一《水浒传》诨号）,谜底：矮脚虎
谜面：白狗上炕，越打越胖。 （打一行为）,谜底：弹棉花
谜面：始皇不是赢氏子 （打一西汉人名）,谜底：吕后
谜面：僧人去尽寺半存 （打一字）,谜底：增
谜面：七人写八字 （打一科目名）,谜底：化学
谜面：平反回来住西城 （打一字）,谜底：墙
谜面：玄德先来，云长未到。 （打一运动员）,谜底：刘翔
谜面：去掉一半多 （打一节日）,谜底：除夕
谜面：夕阳西下几时回 （打一朝代名）,谜底：明朝
谜面：目不斜视 （打一明朝人名）,谜底：张居正
谜面：八一节之夜 （打一节日）,谜底：七夕
谜面：话说七九 （打一成语）,谜底：信口开河
谜面：三方合作，提前跳槽。 （打一《三国演义》人名）,谜底：曹操
谜面：生有一子号青莲 （打一字）,谜底：柏
谜面：游西湖孩子先走 （打一秦朝人名）,谜底：胡亥
谜面：去村后割茅草 （打一字）,谜底：柔
谜面：人离位心别愁 （打一节气）,谜底：立秋
谜面：发言不许拿讲稿 （打一体育项目）,谜底：空手道
谜面：黄连做笛子 （打一成语）,谜底：苦中作乐
谜面：不错不错 （打一语文用语）,谜底：对偶
谜面：巴士之广告 （打一历史名词）,谜底：公车上书
谜面：每日一曲，不一而足。 （打一《三国演义》人名）,谜底：曹丕
谜面：暗笑 （打一新疆地名）,谜底：哈密
谜面：兔子耳朵 （打一字）,谜底：聊
谜面：邂逅见秋香，更名入华府。 （打一成语）,谜底：随遇而安
谜面：匈奴来犯 （打一成语）,谜底：胡作非为
谜面：回身一箭 （打一物理用语）,谜底：反射
谜面：五双 （打一字）,谜底：支
谜面：五雷轰顶 （打一物）,谜底：电脑
谜面：三伏天猜灯谜 （打一成语）,谜底：打得火热
谜面：东邻在水各一方 （打一城市名）,谜底：洛阳
谜面：上身是小山，下身是大山；二字相结合，全身都是山。 （打一字）,谜底：岳
谜面：比干之死 （打一成语）,谜底：心不在焉
谜面：王 （打一数学用语）,谜底：负负得正
谜面：旦净末丑 （打一教育用语）,谜底：差生
谜面：开业四五年 （打一唐朝人名）,谜底：张九龄
谜面：一对仙女共同游，一样打扮两样头，一个见人爱伸手，一个贪玩没有够。 （打两字）,谜底：要、耍
谜面：且到江东去 （打一字）,谜底：沮
谜面：南京三伏天 （打一省区名）,谜底：宁夏
谜面：近墨者黑 （打一成语）,谜底：玄之又玄
谜面：按律文判罪 （打一成语）,谜底：照本宣科
谜面：宣德瓷器 （打一字）,谜底：盟
谜面：十二月江西见面 （打一字）,谜底：清
谜面：鱼儿多少 （打一数学用语）,谜底：尾数
谜面：姚 （打一《红楼梦》人名）,谜底：多姑娘
谜面：阢家杀猪 （打一字）,谜底：院
谜面：禁止叫好 （打一成语）,谜底：妙不可言
谜面：同治霸王 （打一成语）,谜底：一清二楚
谜面：岳母刺字 （打一教育用语）,谜底：背书
谜面：西伯适遇姜太公 （打一字）,谜底：倘
谜面：元明前后 （打一《水浒传》人名）,谜底：宋清
谜面：孔明何以能借箭 （打一天气用语）,谜底：有雾
谜面：要将无才者罢免 （打一成语）,谜底：欲罢不能
谜面：五十分 （打一数学用语）,谜底：半圆
谜面：十分可观 （打一东汉人名）,谜底：张角
谜面：半 （打一成语）,谜底：本末倒置
谜面：客户来贺 （打一《水浒传》人名）,谜底：西门庆
谜面：翼王故里 （打一省会城市名）,谜底：石家庄
谜面：责问孩儿 （打一物理用语）,谜底：质子
谜面：再加一点点力 （打一字）,谜底：苏
谜面：一箭射中缺口 （打一字）,谜底：医
谜面：蛇年前后活力旺 （打一成语）,谜底：龙马精神
谜面：一圆整 （打一数学用语）,谜底：百分数
谜面：四时漫江皆碧透 （打一离合字）,谜底：十二月水清
谜面：老兄高见 （打一省会城市）,谜底：昆明
谜面：庞统巧授连环计 （打一《水浒传》人名）,谜底：吴用
谜面：流水落花春去也 （打一节气）,谜底：夏至
谜面：问心只自可对苍穹 （打一字）,谜底：吴
谜面：虚心方知天下大 （打一节日）,谜底：七一
谜面：到处称霸王 （打一成语）,谜底：逢人说项
谜面：子丑寅卯辰巳午未申亥 （打一成语）,谜底：鸡犬不留
谜面：一字两点 （打一中学科目）,谜底：化学
谜面：不讲东西北 （打一省区名）,谜底：云南
谜面：左边绿，右边红，左右相遇起凉风，绿的喜欢及时雨，红的最怕水来攻。 （打一字）,谜底：秋
谜面：废话连篇不对题 （打一《三国》人名）,谜底：文丑
谜面：夏天 （打一成语）,谜底：有朝一日
谜面：有心求偶无人理 （打一字）,谜底：愚
谜面：七仙女下凡 （打一字）,谜底：几
谜面：一年将尽夜 （打一花名）,谜底：迎春花
谜面：牛羊合群 （打一字）,谜底：羞
谜面：架一木而为天桥 （打一《三国演义》人名）,谜底：大乔
谜面：世界如此多娇 （打一运动项目）,谜底：女子足球
谜面：男女单打 （打一成语）,谜底：一决雌雄
谜面：丢人现丑 （打一字）,谜底：件
谜面：胸透结果保密 （打一成语）,谜底：心照不宣
谜面：一旬 （打一字）,谜底：早
谜面：秋分之后黄梁频现 （打一成语）,谜底：夜长梦多
谜面：投我以木桃 （打一字）,谜底：兆
谜面：上海居民 （打一字）,谜底：伸
谜面：安心疾已平 （打一字）,谜底：俞
谜面：2468 （打一成语）,谜底：无独有偶
谜面：山东快书 （打一作家名）,谜底：鲁迅
谜面：圣上赢了莱国公 （打一俗语）,谜底：胜者为王，败者为寇
谜面：舍舟登陆 （打一现代书名）,谜底：辞海
谜面：尺子 （打一物理名词）,谜底：能量
谜面：千金之子还有一脉传 （打一三国人名）,谜底：孙尚香
谜面：谢绝还价 （打一成语）,谜底：不折不扣
谜面：转业之前留一手 （打一字）,谜底：挛
谜面：时装表演，款式各异。 （打一四字词语）,谜底：一模一样
谜面：天不绝曹 （打一三国人名）,谜底：魏延
谜面：冀南没有冀中无 （打一字）,谜底：北
谜面：上面牵头，下面紧跟，中间一一配合。 （打一字）,谜底：奈
谜面：一只罐，两个口，只装火，不装酒。 （打一物）,谜底：灯笼
谜面：乡亲··虾须格 （打《四书》一句）,谜底：野人也
谜面：做人首先要大方 （打一字）,谜底：烟
谜面：文摘 （打一成语）,谜底：断章取义
谜面：方其中，圆其外。 （打一字）,谜底：回
谜面：梦中一夕别西凉 （打一水浒传人名）,谜底：林冲
谜面：叫杀不慎满盘差 （打一成语）,谜底：将错就错
谜面：一旬少一天 （打一字）,谜底：万
谜面：君王掩面救不得 （打一成语）,谜底：爱莫能助
谜面：状元及第 （打一教育用语）,谜底：高中
谜面：高老头 （打一字）,谜底：主
谜面：油画一幅挂帘前 （打一字）,谜底：演
谜面：连日有雨 （打一字）,谜底：雷
谜面：老头耍滑头 （打一字）,谜底：嫂
谜面：围棋黑方是赢家 （打一五字成语）,谜底：先下手为强
谜面：迎春袭人贾宝玉 （打一成语）,谜底：花花公子
谜面：宝玉低眉从父训 （打一成语）,谜底：垂帘听政
谜面：东宫太子惹不得 （打一成语）,谜底：后生可畏
谜面：赤壁之战的结果 （打二歌星）,谜底：孙悦，刘欢
谜面：人生有变，爱心不变。 （打一字）,谜底：牵
谜面：独生子女合我意 （打一词语）,谜底：一个中心
谜面：田字出头不一点，不念申甲由，若念申甲由不是好秀才。 （打一字）,谜底：神
谜面：田字不出头，不许申甲由，一笔添成字，算你是将才。 （打一字）,谜底：团
谜面：垃圾堆 （打一成语）,谜底：西方净土
谜面：替人垂泪到天明 （打一明朝人名）,谜底：戚继光
谜面：直上云端 （打一字）,谜底：去
谜面：两个月兑现两次 （打一元代名人）,谜底：脱脱
谜面：蒸蒸日上的新中国 （打一物理名词）,谜底：升华
谜面：宝玉不在姑娘在 （打一字）,谜底：安
谜面：太阳太阴一起出现 （打一成语）,谜底：日月同辉
谜面：不是上，不是下，下在上，上在下。 （打一字）,谜底：一
谜面：三人结伴来嘉兴 （打一字）,谜底：秦
谜面：泰山腾空 （打一南宋人名）,谜底：岳飞
谜面：官商合一 （打一红楼梦人名）,谜底：贾政
谜面：兔子不吃窝边草 （打一成语）,谜底：舍近求远
谜面：只要有才，就能生财。 （打一字）,谜底：贝
谜面：一月又一月，月月紧相连。 （打一字）,谜底：用
谜面：有水不清洁 （打一字）,谜底：军
谜面：绝对有始有终 （打一商朝人名）,谜底：纣
谜面：大禹建国 （打一节气）,谜底：立夏
谜面：洪武口谕 （打一字）,谜底：诛
谜面：讨媳妇图漂亮 （打一成语）,谜底：以貌取人
谜面：一撇歪了，一横直了。 （打一字）,谜底：孕
谜面：无冬无夏 （打一古代著作）,谜底：春秋
谜面：反扣成立 （打一字）,谜底：啦
谜面：二直又二直 （打一字）,谜底：坚
谜面：点火就可燃，滴水能润苗。 （打一字）,谜底：尧
谜面：到黄昏点点滴滴 （打五言唐诗一句）,谜底：夜来风雨声
谜面：分明有误 （打一成语）,谜底：阴差阳错
谜面：一星期报道一次 （打一明星）,谜底：周迅
谜面：宋字去了盖，不做木字猜。 （打一字）,谜底：李
谜面：包揽男子体操单项冠军 （打一成语）,谜底：身怀六甲
谜面：桃花映水梅半掩 （打一动物）,谜底：海马
谜面：翻山越岭觅牛仔 （打一成语）,谜底：跳梁小丑
谜面：只在此山中 （打一成语）,谜底：不知所云
谜面：有了儿子，就是老子。 （打一食品）,谜底：木耳
谜面：挑嫩的 （打一作家）,谜底：老舍
谜面：见脚就踢 （打一字）,谜底：易
谜面：爷爷打先锋 （打一南北朝人名）,谜底：祖冲之
谜面：流水已逝去，孤树竟成荫。 （打一字）,谜底：梳
谜面：从上至下，你说念啥。 （打一字）,谜底：坐
谜面：两对夫妻，双拜天地。 （打一成语）,谜底：吞吞吐吐
谜面：一颗心七上八下 （打一歌名）,谜底：《忐忑》
谜面：李斯事君，宝玉孝父。 （打一成语）,谜底：各自为政
谜面：一对燕子天空飞，一只瘦来一只肥；一年四季来一次，一月倒要来三回。 （打一字）,谜底：八
谜面：老子为邻 （打一成语）,谜底：隔墙有耳
谜面：汨罗 （打一成语）,谜底：朝三暮四
谜面：八九点钟的太阳 （打一字）,谜底：晨
谜面：打我知晓，背后有人挑；因何出门来，为指路一条。 （打一物）,谜底：灯笼
谜面：上海滩 （打一军事名词）,谜底：登陆
谜面：礼义廉耻 （打一繁体字）,谜底：羅
谜面：问君能有几多愁 （打一成语）,谜底：对答如流
谜面：一气之下，拂手而去。 （打一字）,谜底：氟
谜面：赤子 （打一西游记人名）,谜底：红孩儿
谜面：汗水换来了庄稼 （打一字）,谜底：秆
谜面：韩信被杀谁之过 （打一成语）,谜底：该当何罪
谜面：句中有一字，每月猜三次，就是秀才猜，也得猜十日。 （打一字）,谜底：旬
谜面：讨人喜欢 （打一字）,谜底：竺
谜面：秋后赶到 （打一节气）,谜底：冬至
谜面：人人围着坐 （打一字）,谜底：土
谜面：丝毫不曲 （打一数学名词〕,谜底：绝对值
谜面：大夫提笔 （打一数学名词）,谜底：开方
谜面：从二到九 （打一成语）,谜底：缺衣少食
谜面：背景分明 （打一城市名）,谜底：北京
谜面：矮了七分 （打一成语）,谜底：低三下四
谜面：有意栽花花不发，无心插柳柳成荫。 （打一成语）,谜底：适得其反
谜面：难上加难 （打一国家名）,谜底：越南
谜面：才下眉头，却上心头。 （打一离合字）,谜底：又欠欢
谜面：上下二十日，吃不到口里。 （打一字）,谜底：乾
谜面：美好的中国 （打一红楼梦人物）,谜底：妙玉
谜面：六十二 （打一成语）,谜底：七零八落
谜面：层云隐去月当头 （打一字）,谜底：屑
谜面：废李后，弃孤儿。 （打一植物）,谜底：木瓜
谜面：六一晚会 （打一节日）,谜底：七夕
谜面：木兰打天下 （打一红楼梦人名）,谜底：花袭人
谜面：稍加装扮 （打一三国人名）,谜底：小乔
谜面：加减后得十分 （打一字）,谜底：寺
谜面：春日一刻值千金 （打一省会城市）,谜底：贵阳
谜面：溪边林木森森 （打一字）,谜底：染
谜面：谈论诗词 （打一成语）,谜底：有言在先
谜面：一来就当官 （打一字）,谜底：史
谜面：重 （常言俗语四字）,谜底：千里相逢
谜面：四书六艺都精通 （打一体育项目名）,谜底：十项全能
谜面：绝对无私 （打一北宋人名）,谜底：包公
谜面：何须杀人灭口 （打一字）,谜底：丁
谜面：十两多一点 （打一字）,谜底：斥
谜面：李字少了木，不作子字猜。 （猜一字）,谜底：一
谜面：上也日，下也日，早也热，晚也热。 （打一字）,谜底：暑
谜面：小虫有文化，到处嗡嗡飞。 （打一字）,谜底：蚊
谜面：才始送春归 （猜一字）,谜底：材
谜面：露 （打一气象用语）,谜底：局部有雨
谜面：老鼠过街人人喊打 （打一物理名词）,谜底：消耗
谜面：旅欧随笔 （打一书名）,谜底：《西游记》
谜面：相差无几 （打一山西城市名）,谜底：大同
谜面：张嘴就知没学历 （打一成语）,谜底：口说无凭
谜面：一块豆腐，切成四块，放到锅里，盖上锅盖。 （打一字）,谜底：画
谜面：仁者见仁，智者见智。 （打一成语）,谜底：山重水复
谜面：钢笔和毛笔做一幅画 （打一成语）,谜底：软硬兼施
谜面：上面出头说原因，下面出头是冠军，上下出头是上海，都不出头在农村。 （打一字）,谜底：田
谜面：曹操包公都上台 （打一成语）,谜底：粉墨登场
谜面：柳畔兔半隐，分明成双对。 （打一成语）,谜底：田月桑时
谜面：西湖东湖已转晴 （打一传统节日）,谜底：清明
谜面：一横一横又一横，一竖一竖又一竖，一撇一撇又一撇，一捺一捺又一捺。 （打一字）,谜底：森
谜面：偏旁部首 （打一字）,谜底：位
谜面：田里跑到田外，不能当做古字猜。 （打一字）,谜底：叶
谜面：世界上人马最少的军队 （打一成语）,谜底：单枪匹马
谜面：此起彼落 （打一玩具）,谜底：跷跷板
谜面：不许放牛羊 （打一唐代诗人名）,谜底：杜牧
谜面：头顶一为天，目上有撇填，无火可以燃。 （打一名词）,谜底：大自然
谜面：言师采药去 （打一种文体）,谜底：童话
谜面：十一点，点十一。 （猜一字）,谜底：幸
谜面：孔雀东南飞 （打一字）,谜底：孙
谜面：睡袋破了 （打一俗语）,谜底：窝囊废
谜面：左边不亮右边亮，两者很少同时露面，合并起来亮堂堂。 （打一字）,谜底：明
谜面：燕山有只燕，头尾全不见，心口送猎人，翅膀在伸展。 （打一字）,谜底：北
谜面：喜上眉头 （猜一字）,谜底：声
谜面：有耳能听到，有口能请教，有手能摸索，有心就烦恼。 （打一字）,谜底：门
谜面：十二月 （打一字）,谜底：青
谜面：孙悟空龙宫借宝 （打一成语）,谜底：海底捞针
谜面：黄盖自献苦肉计 （打一成语）,谜底：屈打成招
谜面：片云残月带三星 （打一字）,谜底：泓
谜面：后村闺中听风声 （打一字）,谜底：封
谜面：十日谈 （打一字）,谜底：询
谜面：有点像画眉鸟 （打一生肖）,谜底：马
谜面：先写了一撇，后写了一画。 （打一字）,谜底：孕
谜面：清明前夜 （打一食品）,谜底：元宵
谜面：关公千里走单骑 （打一水浒人物）,谜底：顾大嫂
谜面：闯王府 （打一成语）,谜底：自成一家
谜面：推门望一望，门里一大将，你说关云长，他说楚霸王。 （打一字）,谜底：扇
谜面：愚公之家 （打一成语）,谜底：开门见山
谜面：遇水一片汪洋，逢木可闻花香。 （打一字）,谜底：每
谜面：子时将尽 （打三字日常用语）,谜底：快一点
谜面：遇火燃烧，遇水挨浇，若猜尧字，智谋不足。 （打一字）,谜底：林
谜面：见人就笑 （打一字）,谜底：竺
谜面：龙凤胎 （打一字）,谜底：好
谜面：人人有房住 （打一成语）,谜底：各得其所
谜面：姑娘说话真和气 （打一体育项目）,谜底：女子柔道
谜面：男人的世界 （打一字）,谜底：妩
谜面：五毛钱一次 （打一数学用语）,谜底：一元二次
谜面：雨天没有晴天有，田里没有堤上有，云南没有贵阳有。 （打一字）,谜底：日
谜面：您说此字不难猜，成双便是好伴侣。 （打一字）,谜底：月
谜面：上面去下面，下面去上面，中间去两边，两边去中间。（打一字）,谜底：至
谜面：波动舟留求剑痕 （打一字）,谜底：必
谜面：月缺又重圆 （打一化学分子式）,谜底：CO2
谜面：先先后后见是非 （打一字）,谜底：靠
谜面：爿（打摄影名词一）,谜底：反转片
谜面：地壳运动 （打一宋代诗人）,谜底：陆游
谜面：东西南北心相连 （打一字）,谜底：愣
谜面：葱姜蒜皆可治病 （打一宋代词人）,谜底：辛弃疾
谜面：舍南舍北皆春水 （打一成语）,谜底：左右逢源
谜面：小船儿轻轻飘荡在水中 （打一字）,谜底：沿
谜面：绝色梅艳芳，香消花已谢。 （打一字）,谜底：丰
谜面：欢欢喜喜过个年 （打作家一）,谜底：老舍
谜面：火焰山八戒烂额 （打食品一）,谜底：红烧猪头肉
谜面：新年伊始捷报传 （打成语一）,谜底：双喜临门
谜面：闾 （打黄梅戏词一句）,谜底：夫妻双双把家还
谜面：金银铜铁 （打一江苏地名）,谜底：无锡
谜面：头在海里游，尾在天上发光。 （打一姓氏）,谜底：鲁
谜面：喜上眉梢 （打一字）,谜底：声
谜面：故乡之行 （打一成语）,谜底：旧地重游
谜面：一手力量大如天，竟能搬到一座山。 （打一字）,谜底：扫
谜面：盖一半，露一半，太阳出来晒一半。 （打一物）,谜底：瓦
谜面：一口分两家，二口在下下，三口叠罗汉，四口团团转，五口不是你，六口长双角，七口斥声大，八口双足长，九口多一口，十口非今话。 （打十字）,谜底：日、吕、品、田、吾、曲、叱、只、旭、古
谜面：花香扑鼻 （打一红楼梦人名）,谜底：袭人
谜面：上头在水里，下头在天空，要问家在哪，老家在山东。 （打一字）,谜底：鲁
谜面：表里如一 （打一字）,谜底：回
谜面：写上去 （打一字）,谜底：与
谜面：山重水复疑无路，柳暗花明又一村。 （打一成语）,谜底：峰回路转
谜面：视而不见，听而不闻。 （打一字）,谜底：祈
谜面：一字四笔八个头，内中有水不外流。 （打一字）,谜底：井
谜面：华而不实 （打一植物名）,谜底：桂花
谜面：天下第一家，出门就用它。人家说它小，三月开白花。 （打四姓氏）,谜底：赵、钱、孙、李
谜面：小红果，微压扁，四季养身好东西。 （打一药材）,谜底：枸杞
谜面：夜来风雨声，花落知多少。 （打一成语）,谜底：落花流水
谜面：早不说晚不说 （打一字）,谜底：许
谜面：及早自立谱新篇 （打一字）,谜底：章
谜面：约十二时 （打一姓氏）,谜底：许
谜面：果儿在上头，苗儿在下头，鱼儿在中间，其实在里头。 （打字一）,谜底：田
谜面：劈岩移山，修田植柳。 （打一水果名）,谜底：石榴
谜面：一字十八口，一字口十八。十八口中有，口中有十八。 （打字四）,谜底：杏、呆、束、困
谜面：四季开花 （打一地名）,谜底：长春
谜面：元宵出门赏灯 (打一常言俗语),谜底：外行看热闹
谜面：左看两点水，右看水两点。细看不是水，敲敲硬邦邦。 （打字一）,谜底：冰
谜面：元宵之后柳吐芽 （打一成语）,谜底：节外生枝
谜面：右边有，左边无，后面有，前面无。 （打字一）,谜底：口
谜面：云盖中秋月，雨淋元宵灯。 （打一成语）,谜底：下落不明
谜面：热爱大自然 （打一成语）,谜底：欢天喜地
谜面：一个人喝多了，出门扶着墙。 （打一动物）,谜底：兔
谜面：南字反方向，口字在中央。上下廿四点，捉虫是健将。 （打字一）,谜底：燕
谜面：一只大黑狗，不叫也不吼。 （打字一）,谜底：默
谜面：有人不正，无人不圆。 （打字一）,谜底：扁
谜面：君之过 （打一春秋战国人名）,谜底：夫差
谜面：十个哥哥力量大，一切困难都不怕。 （打字一）,谜底：克
谜面：林木森森 （打字一）,谜底：杂
谜面：年终结账 （打唐诗五言）,谜底：花落知多少
谜面：郑人买履 （打成语一）,谜底：不足为凭
谜面：儿童阅读《封神榜》 （打成语一）,谜底：少见多怪
谜面：吕奉先恐惧不安 （打一离合字）,谜底：布心怖
谜面：顺着念，花丛飞，倒着念，比糖甜。 （打字二）,谜底：蜜蜂
谜面：怀古 （打成语一）,谜底：口是心非
谜面：春秋战国后 （打字一）,谜底：臻
谜面：刚交十二月 （打一水浒人名）,谜底：方腊
谜面：百岁挂帅 （打成语一）,谜底：大器晚成
谜面：跳者有，走者无；高者有，矮者无；智者有，蠢者无；右边有，左边无；凉天有，热天无。 （打字一）,谜底：口
谜面：上八是倒八，下八是正八，十字当中架，人人需要它。 （打字一）,谜底：米
谜面：发射一箭 （打一离合字）,谜底：单弓弹
谜面：二人同过独木桥，顺着次序往前跑。 （打字一）,谜底：丛
谜面：桃花潭水深千尺 （打成语一）,谜底：无与伦比
谜面：待到重阳日 （打字一）,谜底：晶
谜面：何以解忧··卷帘格 （打一清朝人名）,谜底：康有为
谜面：山连丘，丘连山，石山土丘紧相连。 （打字一）,谜底：岳
谜面：此字不凡仅四笔，无横无直无钩曲，皇帝见了要起身，圣人见了要施礼。 （打字一）,谜底：父
谜面：有一日又不见明月 （打一中国传统节日）,谜底：重阳节
谜面：王白两先生，坐在石头上。 （打字一）,谜底：碧
谜面：从上往下数，只有人一口。 （打字一）,谜底：合
谜面：身在曹营心在汉 （打一成语）,谜底：关怀备至
谜面：大年初一 （打一红楼梦人名）,谜底：元春
谜面：万家团聚迎岁首 （打一江西景区）,谜底：庐山
谜面：可上又可下，老二喊老大。 （打字一）,谜底：哥
谜面：分开三个人，合起来是一群。 （打字一）,谜底：众
谜面：雾中远山横，城头星点点。 （打一节气）,谜底：冬至
谜面：恰如孤月桃花前 （打一运动员）,谜底：姚明
谜面：山庄旧貌改变，一夕秋水清浅。 （打一民俗）,谜底：压岁钱
谜面：春色满园十五夜 （打一成语）,谜底：花好月圆
谜面：不错，不错。 （打文化用品一）,谜底：对联
谜面：胖子开会 （打一省会名）,谜底：合肥
谜面：元旦元宵捷报频传 （打一成语）,谜底：节节胜利
谜面：月光如注草发萌 （打一节气）,谜底：清明
谜面：二丫的容貌 （打一离合字）,谜底：次女姿
谜面：自传 （打《岳阳楼记》一句）,谜底：属予作文以记之
